date,user,is_retweet,is_quote,text,quoted_text
BBC projects he’s secured enough electoral college votes to defeat Donald Trump…,
2020-11-07 16:58:37,Deb_Wanders,False,True,❤️❤️❤️,This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for it. We have a lot of work ahead of us. Let’s get started.
https://t.co/Bb9JZpggLN
2020-11-07 16:58:37,algarianna,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,mtarheel12,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,DianeMarieAmann,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,EstaticFearFAN,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,globomente,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,RosaliAngel,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,MissSop46563131,True,False,RT @Enigma_Fleur: https://t.co/jHK9dVEsU7

Was??? Ehrlich? Ist es jetzt sicher? Darf man sich endlich freuen?!? 😍😍😍,
2020-11-07 16:58:37,pqpercrown,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,RogerPa37808888,True,True,RT @LorimarieWillis: COME ON JOHN LEWIS THROW US SOME MORE GOOD TROUBLE FROM UP IN HEAVEN 🙏🏻🙏🏻🙏🏻🌊🌊🌊🌊🌊🌊,On election day, Georgia honored former Georgia Rep. John Lewis by showing up to the polls and voting for @JoeBiden. I know he's looking down from above with a smile. Rest in power!  https://t.co/IiKcByD57v
2020-11-07 16:58:37,donna132sd,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,ryeisenberg,True,False,RT @voxdotcom: President-elect Joe Biden will enter the White House with the most experience in public service of any chief executive in US…,
2020-11-07 16:58:37,HuddaSaafi,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,layithk76,True,True,RT @Marechtare1: This!! https://t.co/fK229qjR3F,The same media that ran the Russia hoax, ran the suppression polls, and refuses to investigate the #BidenCrimeFamily now tries to call a US election. they have zero authority. #Bidenisnotmypresident https://t.co/xrN27V6lCr
2020-11-07 16:58:37,vella_hai,True,False,RT @sagarcasm: US election summary https://t.co/2Z5yWz4dBD,
2020-11-07 16:58:37,dakuwithchaku,True,False,RT @htTweets: #USAelection2020 | Indian-American Kamala Harris becomes first Black woman elected US vice president

https://t.co/Dm1IAqbWdF…,
2020-11-07 16:58:37,Cindyyyyy48,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,maxmann007,False,True,Congratulations Vice President Harris.,This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for it. We have a lot of work ahead of us. Let’s get started.
https://t.co/Bb9JZpggLN
2020-11-07 16:58:37,hozeevuh,False,True,❤️,This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for it. We have a lot of work ahead of us. Let’s get started.
https://t.co/Bb9JZpggLN
2020-11-07 16:58:37,craig_ancestor,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,travisdafish,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,MamalovesMaui,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,AngelShTuSabes,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,BayleeRose02,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,DanWaugh,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,magali_brunel83,True,False,RT @faureolivier: 🥂🍾🇺🇸👏 the nightmare is over! Sans attendre de miracles espérons que l’élection de #Biden ouvre vite un nouveau cycle dans…,
2020-11-07 16:58:37,SJSMITH2018,False,False,BBC News - US Election 2020: Joe Biden wins the presidency
https://t.co/kI4lRHiPM5,
2020-11-07 16:58:37,theAbidoye,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,Wordwiccan,True,False,RT @BylineTimes: ▶️US Election 2020: Competence is Not the Perfect Antidote to Authoritarian Populism 

@mdbuckley argues that those concer…,
2020-11-07 16:58:37,namssas,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,xysist,False,False,https://t.co/yZMLTCCfsU,
2020-11-07 16:58:37,Blaster_45,True,False,RT @KaitMarieox: If Democrats can't follow simple election laws and court orders, then why are we still following these stupid mask mandate…,
2020-11-07 16:58:37,murraymom4,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,_thefinesser,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,lindaathena1,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,OsmundoFerreira,True,False,RT @allanldsantos: US Election Problems Mirror Vote Rigging In Latin America

https://t.co/us83ORagj8,
2020-11-07 16:58:38,Cmbabu18,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,SIRTAPSCOTT,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:37,garethglynn,False,False,#shedatear (NOT) https://t.co/aE4P3S2fZp,
2020-11-07 16:58:38,AslanianAA,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,reginaw50361,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,amandinec_grgs,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,luaflume,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,MontijoWilmarie,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,tekicia3000,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,Bojana,False,True,Za mene je ovo zaista iznenađenje, naravno, pozitivno.,Joe Biden wins US presidential election

BBC projects he’s secured enough electoral college votes to defeat Donald Trump

#Election2020 https://t.co/mQVd59vCnl https://t.co/MpsmLGDZoO
2020-11-07 16:58:38,ARSudhanva,True,False,RT @republic: US elections LIVE: Joe Biden elected President, Harris makes history as first female VP

https://t.co/q6HCfQaxdm,
2020-11-07 16:58:38,Kenya_Gray02,True,False,RT @BBCBreaking: Joe Biden wins US presidential election

BBC projects he’s secured enough electoral college votes to defeat Donald Trump…,
2020-11-07 16:58:38,jchristineb,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,MJCoad,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,sophiexwhite,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,Tari_jeph,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,romididi,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,lizcook30,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,abigail30022215,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,24_Cristina_R,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,cathy_brooks62,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,67ReppM,True,False,RT @KamalaHarris: This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for…,
2020-11-07 16:58:38,imallie_x0,False,False,@ArianaGrande @JoeBiden @KamalaHarris @ArianaGrande thank you for motivating and encouraging us young adults to help make history in this election! We couldn’t have done this without you 💙🎉,
2020-11-07 16:58:38,hidingfromlibs,True,False,RT @RepVernonJones: Mr. President, We know how much you love Georgia and Georgians love you too. We are converging on the State Capitol at…,
2020-11-07 16:58:38,K_Dogg59,True,False,RT @JTBrown23: Black folx, y’all showed up in Atlanta, Detroit, Milwaukee, Philadelphia, and others for this country (despite voter suppres…,
2020-11-07 16:58:38,Keith1Bell,True,False,RT @RyanAFournier: The same people who believed Jussie Smollett are telling us there was no election fraud.,
2020-11-07 16:58:38,YaGirlBoo2,False,True,LETS GOOOOO😆,This election is about so much more than @JoeBiden or me. It’s about the soul of America and our willingness to fight for it. We have a lot of work ahead of us. Let’s get started.
